Address,USB0::0x2A8D::0x3702::MY61001265::0::INSTR,
Model,EL33133A,
Serial Number:,MY61001265,
Firmware Version,1.2.9-1.0.6-17-114,
Start Time,2025-03-27 15:17:58.557,
Stop Time,2025-03-27 15:51:31.230,
Sample Period (s),0.5,
,,
Time (s) (s),V1 (DCVolt),P1 (Power)
2025-03-27 15:17:58.574,3.417102,-0.0002165384
2025-03-27 15:17:59.120,3.417234,0.0003864035
2025-03-27 15:17:59.637,3.417367,0.000145291
2025-03-27 15:18:00.155,3.417301,-6.629535E-05
2025-03-27 15:18:00.673,3.417477,-4.002036E-05
2025-03-27 15:18:01.190,3.417278,-0.0003105236
2025-03-27 15:18:01.708,3.417486,0.0001694789
2025-03-27 15:18:02.225,3.417392,-0.0001000196
2025-03-27 15:18:02.744,3.417253,-7.16129E-05
2025-03-27 15:18:03.261,2.979887,2.978923
2025-03-27 15:18:03.783,2.978228,2.977836
2025-03-27 15:18:04.298,2.977518,2.976657
2025-03-27 15:18:04.816,2.976594,2.976202
2025-03-27 15:18:05.334,2.975754,2.975619
2025-03-27 15:18:05.851,2.975248,2.974491
2025-03-27 15:18:06.369,2.974257,2.974195
2025-03-27 15:18:06.887,2.973801,2.973525
2025-03-27 15:18:07.404,2.972568,2.972013
2025-03-27 15:18:07.922,2.972282,2.972141
2025-03-27 15:18:08.440,2.97207,2.9717
2025-03-27 15:18:08.957,2.971426,2.971062
2025-03-27 15:18:09.476,2.970888,2.970637
2025-03-27 15:18:09.994,2.970052,2.970135
2025-03-27 15:18:10.511,2.969911,2.969327
2025-03-27 15:18:11.028,2.969977,2.96952
2025-03-27 15:18:11.546,2.969158,2.968858
2025-03-27 15:18:12.065,2.968817,2.96827
2025-03-27 15:18:12.582,2.968817,2.96827
2025-03-27 15:18:12.582,2.968302,2.967984
2025-03-27 15:18:13.099,2.967553,2.967216
2025-03-27 15:18:13.618,2.967225,2.967153
2025-03-27 15:18:14.135,2.966379,2.966722
2025-03-27 15:18:14.654,2.966155,2.965954
2025-03-27 15:18:15.171,2.965559,2.964847
2025-03-27 15:18:15.688,2.965495,2.965276
2025-03-27 15:18:16.206,2.965096,2.964959
2025-03-27 15:18:16.724,2.964423,2.964679
2025-03-27 15:18:17.241,2.963794,2.963357
2025-03-27 15:18:17.759,2.963334,2.963277
2025-03-27 15:18:18.277,2.963282,2.962427
2025-03-27 15:18:18.794,2.962784,2.96239
2025-03-27 15:18:19.313,2.96246,2.96209
2025-03-27 15:18:19.830,2.961995,2.961701
2025-03-27 15:18:20.348,2.961461,2.961079
2025-03-27 15:18:20.867,2.961353,2.961029
2025-03-27 15:18:21.383,2.960631,2.960508
2025-03-27 15:18:21.901,2.960145,2.959722
2025-03-27 15:18:22.419,2.960088,2.959375
2025-03-27 15:18:22.935,2.95939,2.959203
2025-03-27 15:18:23.454,2.959007,2.958671
2025-03-27 15:18:23.972,2.958876,2.958917
2025-03-27 15:18:24.490,2.958647,2.958695
2025-03-27 15:18:25.007,2.958564,2.95848
2025-03-27 15:18:25.525,2.958292,2.958322
2025-03-27 15:18:26.043,2.958109,2.957522
2025-03-27 15:18:26.560,2.956971,2.957157
2025-03-27 15:18:27.077,2.956971,2.957157
2025-03-27 15:18:27.077,2.957137,2.956612
2025-03-27 15:18:27.596,2.956039,2.955886
2025-03-27 15:18:28.114,2.956095,2.955719
2025-03-27 15:18:28.632,2.955737,2.955124
2025-03-27 15:18:29.149,2.955331,2.955359
2025-03-27 15:18:29.667,2.955256,2.954303
2025-03-27 15:18:30.185,2.954245,2.954193
2025-03-27 15:18:30.703,2.954067,2.9542
2025-03-27 15:18:31.221,2.95386,2.953742
2025-03-27 15:18:31.738,2.953512,2.95345
2025-03-27 15:18:32.255,2.953423,2.952873
2025-03-27 15:18:32.774,2.952657,2.952605
2025-03-27 15:18:33.291,2.952458,2.952143
2025-03-27 15:18:33.809,2.952573,2.952276
2025-03-27 15:18:34.327,2.952078,2.951624
2025-03-27 15:18:34.845,2.951963,2.952175
2025-03-27 15:18:35.362,2.951526,2.951272
2025-03-27 15:18:35.880,2.95082,2.95063
2025-03-27 15:18:36.398,2.950302,2.949843
2025-03-27 15:18:36.915,2.950228,2.949781
2025-03-27 15:18:37.433,2.949876,2.949924
2025-03-27 15:18:37.951,2.949507,2.949372
2025-03-27 15:18:38.468,2.949193,2.94904
2025-03-27 15:18:38.986,2.94871,2.948582
2025-03-27 15:18:39.504,2.948692,2.948742
2025-03-27 15:18:40.022,2.948044,2.947873
2025-03-27 15:18:40.539,2.947858,2.94753
2025-03-27 15:18:41.057,2.947832,2.947768
2025-03-27 15:18:41.576,2.947832,2.947768
2025-03-27 15:18:41.576,2.947779,2.94744
2025-03-27 15:18:42.092,2.947667,2.947094
2025-03-27 15:18:42.610,2.947339,2.946427
2025-03-27 15:18:43.128,2.946318,2.945732
2025-03-27 15:18:43.646,2.946271,2.946316
2025-03-27 15:18:44.164,2.945858,2.94563
2025-03-27 15:18:44.681,2.945272,2.945
2025-03-27 15:18:45.199,2.945598,2.945101
2025-03-27 15:18:45.716,2.944648,2.944281
2025-03-27 15:18:46.234,2.944303,2.944424
2025-03-27 15:18:46.752,2.944464,2.944014
2025-03-27 15:18:47.271,2.944291,2.943983
2025-03-27 15:18:47.788,2.944258,2.943909
2025-03-27 15:18:48.305,2.943745,2.943305
2025-03-27 15:18:48.823,2.943397,2.943017
2025-03-27 15:18:49.341,2.943075,2.942463
2025-03-27 15:18:49.859,2.942476,2.942065
2025-03-27 15:18:50.376,2.942386,2.942811
2025-03-27 15:18:50.894,2.942228,2.942304
